name,description
Allston,"Allston is a neighborhood of Boston, Massachusetts, located in the western part of the city. It was named after the American painter and poet Washington Allston. It comprises the land covered by the zip code 02134. For the most part, Allston is administered collectively with the adjacent neighborhood of Brighton. The two are often referrd to together a Allston-Brighton. Boston Police Department District D-14 covers the Allston-Brighton area and a Boston Fire Department Allston station is located in Union Square which houses Engine 41 and Ladder 14. Engin 41 is icknamed The Bull to commemorate the historic stockyards of Allston."
Back Bay,"Back Bay is an officially recognized neighborhood of Boston, Massachusetts famous for its rows of Victorian brownstone homes — considered one of the best-preserved examples of 19th-century urban design in the United States — as well as numerous architecturally significant individual buildings and important cultural institutions such as the Boston Public Library. It is also a fashionable shopping destination (especially Newbury and Boylston Streets, and the adjacent Prudential Center and Copley Place malls) and home to some of Boston's tallest office buildings, the Hynes Convention Center, and numerous major hotels."
Bay Village,"Bay Village is the second smallest and arguably least-known officially-recognized neighborhood of Boston, Massachusetts. As of 2010, its population was approximately 1,312 residents living in 837 housing units, most of which are small brick rowhouses."
Beacon Hill,"Beacon Hill is a historic neighborhood of Boston, Massachusetts, that along with the neighboring Back Bay is home to more than 27,000 people in 2010. It is a neighborhood of Federal-style rowhouses and is known for its narrow, gaslit streets and brick sidewalks. Today, Beacon Hill is regarded as one of the most desirable and expensive neighborhoods in Boston. Because the Massachusetts State House is in a prominent location at the top of te hill, th term Beacon Hill is also often used as a metonym in the local news media to refer to the state government or the legislature."
Brighton,"Brighton is a dissolved municipality and current neighborhood of Boston, Massachusetts, United States, and is located in the northwest corner of the city. It is named after the town of Brighton in the English city of Brighton and Hove. For its first 160 years Brighton was part of Cambridge and was known as Little Cambridge. Throughout much of its early history it was a rural town with a significant commercial center at its eastern end. Brighton separated from Cambridge in 1807 after a bridge dispute and was later annexed to Boston, in 1874. The neighborhood of Allston was also formerly part of the City of Brighton, but is now often considered separately, leading to the moniker Allston-Brighton for the combined area."
Charlestown,"Charlestown is the oldest neighborhood in Boston, Massachusetts, United States. Originally called Mishawum by the Native Americans, it is located on a peninsula north of the Charles River, across from downtown Boston, and also adjoins the Mystic River and Boston Harbor. Charlestown was laid out in 1629 by engineer Thomas Graves, one of its early settlers. It was originally a separate town and the first capital of the Massachusetts Bay Colony; it became a city in 1848 and was annexed by Boston on January 5, 1874. While it has had a substantial Irish American population since the migration of Irish people during the Great Irish Famine of the 1840s, since the late 1980s the neighborhood has changed dramatically because of its proximity to downtown and its colonial architecture. However, it still maintains a strong Irish American population and identity."
Chinatown,"Chinatown, Boston is a neighborhood located in downtown Boston, Massachusetts. It is the only historically surviving Chinese area in New England with the demise of the Chinatown in Providence, Rhode Island after the 1950s."
Dorchester,"Dorchester is a historic neighborhood of over six square miles in Boston, Massachusetts, United States. The town was founded by Puritans who emigrated from Dorchester, England in 1630. This dissolved municipality, Boston's largest neighborhood by far, is often divided by city planners in order to create two planning areas roughly equivalent in size and population to other Boston neighborhoods. It is named after the town of Dorchester in the English county of Dorset, from which Puritans emigrated on the ship Mary and John, among others and is today soetmes nicknamed Dot by its residents. Dorchester, now covering a geographic area approximately equivalent to the city of Cambridge, Massachusetts, was founded a few months before the city of Boston in 1630. It was still a primarily rural town and had a population of 12,000 when it was annexed to Boston in 1870. Railroad and streetcar lines brought rapid growth, increasing the population to 150,000 by 1920. In the 2010 Census the population was 92,115, although the city's previously mentioned artificial planning boundaries make the neighborhood's population size difficult to assess - it is likely closer to 120,000. Dorchester as a separate municipality would rank among the top five Massachusetts cities. It has a very diverse mix of Eastern Europeans, African Americans, European Americans, Irish American immigration, Caribbean Americans, Latinos, and East and Southeast Asian Americans. Recently, there has been an influx of young professionals, gay people, and working artists to the neighborhood, adding to its diversity."
Downtown Crossing,"Downtown Crossing is a shopping district that is a small part of downtown Boston, Massachusetts, located due east of Boston Common and west of the Financial District. It features large department stores as well as restaurants, souvenir sellers, general retail establishments, and street vendors. The section of Washington Street between Temple and Bromfield streets (and portions of Winter and Summer streets) are closed to most vehicular traffic. Pedestrians may walk freely in the street."
East Boston,"East Boston is a neighborhood of Boston, Massachusetts with approximately 40,000 residents. The neighborhood was created by connecting several islands using landfill, which was annexed by Boston in 1836. It is separated from the city proper by Boston Harbor and bordered by Winthrop, Revere, and the Chelsea Creek. Directly west of East Boston across Boston Harbor is the North End and Boston's Financial District. The neighborhood has long provided a foothold for the latest immigrants with Irish, Russian Jews and then Italians alternating as the predominant group. From the 1990s into the early millennium,Latin American immigrants settled in East Boston. In recent years, East Boston has become home to a wave of young professionals seeking residence in Boston in newly renovated condominiums along Jeffries Point, Maverick Square, and the Eagle Hill waterfront. The neighborhood is easily accessible to downtown Boston via the MBTA Blue Line."
